Date,Open,High,Low,Close,Adj Close,Volume
42867,106.769997,106.910004,106.5,106.870003,106.250786,4860600
42870,106.779999,107.199997,106.669998,107.040001,106.419807,1854800
42871,106.970001,107.760002,106.93,107.699997,107.075974,6256900
42872,107.260002,107.830002,107.25,107.389999,106.767769,5324200
42873,107.279999,107.5,107.139999,107.269997,106.64846,3252800
42874,107.449997,107.830002,107.449997,107.75,107.125687,2773300
42877,107.870003,108.239998,107.75,108.169998,107.543251,3259300
42878,107.959999,108.199997,107.959999,108.089996,107.463715,2996400
42879,108.110001,108.290001,107.849998,108,107.374237,3686000
42880,108,108.150002,107.800003,107.949997,107.324532,3058800
42881,107.889999,108.239998,107.889999,108,107.374237,2620100
42885,107.910004,108.209999,107.910004,108.139999,107.513428,2111900
42886,109.050003,109.900002,108.980003,109.900002,109.263229,12507100
42887,109.650002,109.709999,109,109.32,108.686592,7465900
42888,109.199997,109.349998,108.860001,109.150002,108.517578,3789000
42891,109,109.32,109,109.220001,108.587173,2537400
42892,109.220001,109.349998,108.849998,108.849998,108.219315,2724700
42893,108.849998,109.32,108.809998,109.209999,108.577225,2903200
42894,109.07,109.400002,108.919998,109.230003,108.597115,2064500
42895,109.230003,109.5,108.169998,108.580002,107.950874,4308300
42898,108.910004,108.910004,108,108.220001,107.592964,2889900
42899,108.449997,109.110001,108.32,109.110001,108.477806,1959100
42900,108.959999,109.419998,108.650002,109.269997,108.636879,2478000
42901,108.779999,109.110001,108.75,109,108.368439,1315700
42902,109,109.400002,108.849998,109.089996,108.457916,2075700
42905,109,109.290001,108.900002,109.150002,108.517578,1808900
42906,109.050003,109.860001,108.970001,109,108.368439,3010300
42907,109.019997,109.220001,108.879997,109.169998,108.53746,2796600
42908,109.150002,109.5,108.989998,109.5,108.865547,3156500
42909,109.5,109.980003,109.470001,109.980003,109.342773,23837000
42912,109.75,109.919998,109.449997,109.730003,109.094215,2437900
42913,109.669998,109.790001,109.419998,109.519997,108.885429,4010400
42914,109.879997,109.949997,109.57,109.900002,109.263229,2210600
42915,109.769997,109.800003,109.029999,109.400002,108.766129,4944800
42916,109.330002,109.510002,109.139999,109.449997,108.815834,2853900
42919,109.5,109.5,109.099998,109.269997,108.636879,1170800
42921,109.269997,109.370003,109.040001,109.199997,108.567284,2315600
42922,109.110001,109.300003,109.050003,109.260002,108.626945,1708600
42923,109.269997,109.379997,109,109.110001,108.477806,3532500
42926,109.050003,109.459999,109.050003,109.32,108.686592,1428800
42927,109.25,109.25,109,109.25,108.616997,1803800
